product_name,current_stock,cost,selling_price,avg_daily_sales
Organic Coffee Beans,120,8.5,15.99,12
Artisan Bread Loaves,45,3.2,6.5,18
Natural Honey Jars,8,5,12,3
Handmade Soap Bars,200,2.5,6.99,5
Fresh Juice Bottles,30,2,5.5,15
Vintage T-Shirts,75,8,24.99,8
Greek Yogurt Cups,90,1.5,3.99,22
Almond Butter Jars,55,6,13.99,7
Herbal Tea Boxes,140,4.25,9.99,11
Dark Chocolate Bars,25,2.75,5.99,14
Coconut Water Bottles,60,1.8,4.5,19
Protein Powder Tubs,35,18,39.99,4
Kombucha Bottles,48,2.5,5.99,16
Granola Bags,95,3.5,7.99,9
Avocado Oil Bottles,42,7.5,16.99,5
Rice Noodle Packs,110,2.25,4.99,13
Matcha Powder Tins,18,12,24.99,3
Quinoa Bags,68,4.75,9.99,8
Chia Seeds Pouches,82,5.5,11.99,6
Maple Syrup Bottles,30,8,17.99,5
Dried Mango Bags,72,3.25,7.5,10
Peanut Butter Jars,125,4.5,9.99,17
Green Tea Sachets,150,3,6.99,12
Cashew Nuts Packs,40,6.75,14.99,7
Olive Oil Bottles,55,9,19.99,6
Whole Wheat Pasta,88,2.5,5.49,11
Canned Tuna,135,1.75,3.99,20
Tomato Sauce Jars,98,2.25,4.99,15
Balsamic Vinegar,32,5.5,12.99,4
Sea Salt Grinders,65,3.75,8.99,6
Black Pepper Mills,58,4,9.49,5
Cinnamon Sticks,45,6.25,13.99,3
Vanilla Extract Bottles,28,10.5,22.99,4
Soy Sauce Bottles,92,2.75,5.99,14
Hot Sauce Bottles,78,3.5,7.99,11
BBQ Sauce Bottles,64,3.25,6.99,9
Mustard Jars,85,2.5,5.49,8
Salsa Jars,52,3.75,7.99,12
Hummus Containers,38,2.25,4.99,16
Tortilla Chips Bags,105,2,4.49,21
Popcorn Kernels,115,1.5,3.49,13
Trail Mix Bags,70,4.25,8.99,10
Energy Bars,155,1.25,2.99,25
Protein Bars,130,1.75,3.99,22
Sparkling Water Cans,180,0.75,1.99,30
Iced Coffee Bottles,42,2.5,5.49,18
Lemonade Bottles,55,1.75,3.99,17
Almond Milk Cartons,65,2.25,4.99,14
Oat Milk Cartons,48,2.5,5.49,15
Coconut Milk Cans,88,1.5,3.49,11
